G_pro1_rank,accession,G_pre1_rank,G_pre1_score,deployment_readiness_score,C_verified_status_score,domain_architecture_similarity,receptor_binding_region_similarity,structure_similarity,physicochemical_similarity,target_context_or_docking_similarity,C_verified_anchor_similarity_score,C_verified_score,G_pro1_score,wet_lab_status,evidence_registry_status,sequence_recovered,similarity_confidence,deployment_readiness_confidence,forced_rank_status,hard_coded_priority_status,manual_override_status,gold_standard_bonus_status,candidate_policy,source_pair_id,source_candidate_record_id,E6_4_constructability_expression_score,E6_5_solubility_aggregation_chaperone_score,E6_6_application_engineering_score,deployment_score_normalized_by_available_fields,score_normalized_by_available_fields,domain_component_status,receptor_binding_region_component_status,structure_component_status,physicochemical_component_status,target_context_or_docking_component_status,sequence_sha256,sequence_source_file
38,I7K3G3,29,0.567110,0.739058,0.500000,0.333333,0.619864,1.000000,0.982388,0.738375,0.702339,0.560702,0.582382,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,I7K3G3__V52_B0_834319d12b31cd56a894__compound5,V52_B0_834319d12b31cd56a894,0.425000,0.922646,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,0d19a5553db33839e3e9d7f1ca2514c718c0e489dff7097164eecfa3420186d8,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
39,A0A9P1PWH0,23,0.570609,0.893442,0.500000,0.000000,0.335890,1.000000,0.955161,0.481499,0.506752,0.502026,0.582317,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A9P1PWH0__V52_B0_06498fa95a8529a6e827__compound5,V52_B0_06498fa95a8529a6e827,0.800000,0.933604,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,7e60bd943abfc9e1cb1b7e4fae29212ad5b208240d2d771505110ca0ca645295,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
40,S5M9F2,45,0.557936,0.863333,0.500000,0.000000,0.532680,1.000000,0.954720,0.814770,0.612698,0.533809,0.581238,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,S5M9F2__V52_B0_fd80d79069bc3204eb92__compound5,V52_B0_fd80d79069bc3204eb92,0.700000,0.958333,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,1b77bafe97676059c7945334f5b2df29004279673d1af9686ce84ae0000d71f3,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
41,I6Q9A1,31,0.565565,0.778172,0.500000,0.142857,0.564653,1.000000,0.983604,0.791961,0.654578,0.546373,0.581068,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,I6Q9A1__V52_B0_5226a1244fdf64614579__compound5,V52_B0_5226a1244fdf64614579,0.475000,0.970430,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,d80b009022fb672290626551547c1c9dd640ed8b2ce166890938dce88ce4687d,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
42,A0A0B5A4Q9,50,0.555314,0.901428,0.500000,0.000000,0.407602,1.000000,0.912686,0.805107,0.579445,0.523833,0.580481,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A0B5A4Q9__V52_B0_e182309b668540adee8d__compound5,V52_B0_e182309b668540adee8d,0.825000,0.928571,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,cfb1b0edf5a228825f7dfae24d63985f58af86415032b76c5abcc0525b434e54,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
43,S5MRA5,49,0.556463,0.838204,0.500000,0.000000,0.626668,1.000000,0.931392,0.750667,0.615176,0.534553,0.578064,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,S5MRA5__V52_B0_1ad188626900ead62d59__compound5,V52_B0_1ad188626900ead62d59,0.725000,0.870510,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,c60d3696ead8f7842f23b321a2e85f8ae3f9104b6bf012aa89e9c5f9b9c29e51,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
44,S5M3B5,15,0.585871,0.736034,0.500000,0.000000,0.250985,1.000000,0.971275,0.639512,0.523791,0.507137,0.577267,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,S5M3B5__V52_B0_4532ea7e5bed51960434__compound5,V52_B0_4532ea7e5bed51960434,0.425000,0.915086,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,89e47e574cb0175826eedd63e6981c304334ccda689d988569ca9c40bbb0a060,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
45,A0A449C531,21,0.574831,0.728334,0.500000,0.000000,0.498547,1.000000,0.980318,0.665414,0.579840,0.523952,0.574918,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A449C531__V52_B0_a473da7455605014f629__compound5,V52_B0_a473da7455605014f629,0.425000,0.895834,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,2f706398545e9484cf3ab23de0e4d902e5f2983144699b324256cbe738e03593,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
46,A0A0H3NZ57,48,0.557146,0.745116,0.500000,0.000000,0.625914,1.000000,0.953381,0.839274,0.636045,0.540813,0.571043,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A0H3NZ57__V52_B0_01c8e8853dc65d3bd72b__compound5,V52_B0_01c8e8853dc65d3bd72b,0.450000,0.912791,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,743e21f9b05dae4a29b622853aea9b32658cf3fdfe77ccae6a2d0c884fee96dc,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
47,A0A1V0DXT2,41,0.561406,0.732308,0.500000,0.000000,0.508398,1.000000,0.979156,0.715090,0.591571,0.527471,0.568316,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A1V0DXT2__V52_B0_e17adc42c5374f6446a4__compound5,V52_B0_e17adc42c5374f6446a4,0.475000,0.855769,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,4cf9be016acb222c9dd82907ec96196678519449cf00555117b10875c818a327,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
48,S5ML14,37,0.563844,0.729848,0.500000,0.000000,0.392728,1.000000,0.980710,0.720984,0.569849,0.520955,0.567578,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,S5ML14__V52_B0_cc5cd01b6a7cd059e685__compound5,V52_B0_cc5cd01b6a7cd059e685,0.425000,0.899621,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,607ce748a4e1fab093556e28c0e0c90fdef605cf8172eaf0be544952202a513a,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
49,A0A0B4ZXE3,47,0.557289,0.653915,0.500000,0.000000,0.808078,1.000000,0.973292,0.721428,0.651895,0.545568,0.563435,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A0B4ZXE3__V52_B0_560a733be97173df0a7f__compound5,V52_B0_560a733be97173df0a7f,0.275000,0.859787,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,3124183e9821df432db7ac3c768868a86e973dbef06e467487b2cb79b378a225,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
50,I7K324,42,0.560964,0.653915,0.500000,0.000000,0.415843,1.000000,0.973416,0.701113,0.569404,0.520821,0.558216,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,I7K324__V52_B0_32ddd655691f86d6b241__compound5,V52_B0_32ddd655691f86d6b241,0.275000,0.859787,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,628e0cfdf66a9ac8811855af973f3e5a7faeaeda92f37c3b328834a7ec1497ca,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
