source_accession,pair_id,candidate_record_id,ligand_id,ordinary_candidate_policy,forced_rank_status,hard_coded_priority_status,gold_standard_bonus_status,best_affinity_kcal_mol,broad_vina_rank,broad_vina_score,broad_vina_percentile,receptor_pdbqt_path,output_pose_path,log_path,pose_file_status,receptor_file_status,ligand_parse_status,receptor_parse_status,pose_count,top_pose_model_index,top_pose_parse_source,ligand_atom_count,receptor_atom_count,contact_cutoff_angstrom,close_contact_cutoff_angstrom,clash_cutoff_angstrom,contact_pair_count,close_contact_pair_count,clash_pair_count,polar_contact_pair_count,contact_residue_count,receptor_contact_atom_count,ligand_contact_atom_count,min_ligand_receptor_distance_angstrom,pose_contact_QC_status,manual_review_required,review_reason,pose_contact_QC_feature_source_type,pose_contact_QC_score_status
A0AAE7S353,A0AAE7S353__V52_B0_f9610b272d332c1d8ac9__compound5,V52_B0_f9610b272d332c1d8ac9,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.068,194,0.604060,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0AAE7S353__V52_B0_f9610b272d332c1d8ac9.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_6_segmented_vina_docking_segment/vina_runs/A0AAE7S353/A0AAE7S353.v5_4_8h_6.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_6_segmented_vina_docking_segment/vina_runs/A0AAE7S353/A0AAE7S353.v5_4_8h_6.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,6203,4.0,3.5,2.0,171,75,0,108,20,64,44,2.143,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
A0AAE7V5N4,A0AAE7V5N4__V52_B0_16f147005e1596182f59__compound5,V52_B0_16f147005e1596182f59,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-8.255,10,0.847447,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0AAE7V5N4__V52_B0_16f147005e1596182f59.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_6_segmented_vina_docking_segment/vina_runs/A0AAE7V5N4/A0AAE7V5N4.v5_4_8h_6.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_6_segmented_vina_docking_segment/vina_runs/A0AAE7V5N4/A0AAE7V5N4.v5_4_8h_6.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3718,4.0,3.5,2.0,264,114,2,151,16,87,56,1.731,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0AAE9FQ76,A0AAE9FQ76__V52_B0_4d659282a14eb1343085__compound5,V52_B0_4d659282a14eb1343085,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.419,107,0.676030,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0AAE9FQ76__V52_B0_4d659282a14eb1343085.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_7_segmented_vina_docking_segment/vina_runs/A0AAE9FQ76/A0AAE9FQ76.v5_4_8h_7.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_7_segmented_vina_docking_segment/vina_runs/A0AAE9FQ76/A0AAE9FQ76.v5_4_8h_7.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3505,4.0,3.5,2.0,189,98,5,107,15,60,38,1.585,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0AAE9FSZ1,A0AAE9FSZ1__V52_B0_391873faf7cd0b211011__compound5,V52_B0_391873faf7cd0b211011,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-8.044,20,0.804183,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0AAE9FSZ1__V52_B0_391873faf7cd0b211011.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_7_segmented_vina_docking_segment/vina_runs/A0AAE9FSZ1/A0AAE9FSZ1.v5_4_8h_7.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_7_segmented_vina_docking_segment/vina_runs/A0AAE9FSZ1/A0AAE9FSZ1.v5_4_8h_7.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3649,4.0,3.5,2.0,244,106,2,141,15,66,55,1.763,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0AAE9FUR5,A0AAE9FUR5__V52_B0_3be894516b034d93ccea__compound5,V52_B0_3be894516b034d93ccea,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.819,35,0.758048,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0AAE9FUR5__V52_B0_3be894516b034d93ccea.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_7_segmented_vina_docking_segment/vina_runs/A0AAE9FUR5/A0AAE9FUR5.v5_4_8h_7.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_7_segmented_vina_docking_segment/vina_runs/A0AAE9FUR5/A0AAE9FUR5.v5_4_8h_7.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,4102,4.0,3.5,2.0,211,98,4,119,19,77,44,1.839,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0AAT9S6U3,A0AAT9S6U3__V52_B0_e8153b241c322ebe0ce2__compound5,V52_B0_e8153b241c322ebe0ce2,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.842,30,0.762764,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0AAT9S6U3__V52_B0_e8153b241c322ebe0ce2.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_7_segmented_vina_docking_segment/vina_runs/A0AAT9S6U3/A0AAT9S6U3.v5_4_8h_7.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_7_segmented_vina_docking_segment/vina_runs/A0AAT9S6U3/A0AAT9S6U3.v5_4_8h_7.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,5967,4.0,3.5,2.0,187,95,2,114,17,65,45,1.483,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0AAX4Q2K6,A0AAX4Q2K6__V52_B0_e1888fad7884237478d2__compound5,V52_B0_e1888fad7884237478d2,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.244,136,0.640148,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0AAX4Q2K6__V52_B0_e1888fad7884237478d2.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_7_segmented_vina_docking_segment/vina_runs/A0AAX4Q2K6/A0AAX4Q2K6.v5_4_8h_7.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_7_segmented_vina_docking_segment/vina_runs/A0AAX4Q2K6/A0AAX4Q2K6.v5_4_8h_7.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,1095,4.0,3.5,2.0,199,101,0,125,15,60,43,2.023,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
Q9T0Z9,Q9T0Z9__V52_B0_4258e8231588fe960a0e__compound5,V52_B0_4258e8231588fe960a0e,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-6.949,239,0.579660,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/Q9T0Z9__V52_B0_4258e8231588fe960a0e.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_1_segmented_vina_docking_log_option_fix/vina_runs/Q9T0Z9/Q9T0Z9.v5_4_8h_1.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_1_segmented_vina_docking_log_option_fix/vina_runs/Q9T0Z9/Q9T0Z9.v5_4_8h_1.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,6090,4.0,3.5,2.0,95,44,0,63,15,43,39,2.072,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
B3VCL5,B3VCL5__V52_B0_013acaaa5777bf04bd7f__compound5,V52_B0_013acaaa5777bf04bd7f,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.764,45,0.746771,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/B3VCL5__V52_B0_013acaaa5777bf04bd7f.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/B3VCL5/B3VCL5.v5_4_8h_8.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/B3VCL5/B3VCL5.v5_4_8h_8.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,5511,4.0,3.5,2.0,194,91,0,114,22,74,48,2.003,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
F4N2J8,F4N2J8__V52_B0_678901de5475dc45ea34__compound5,V52_B0_678901de5475dc45ea34,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-6.868,271,0.563051,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/F4N2J8__V52_B0_678901de5475dc45ea34.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/F4N2J8/F4N2J8.v5_4_8h_8.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/F4N2J8/F4N2J8.v5_4_8h_8.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,1531,4.0,3.5,2.0,151,49,0,90,14,55,42,2.108,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
F4N729,F4N729__V52_B0_989606a9637da31f7cad__compound5,V52_B0_989606a9637da31f7cad,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-6.015,686,0.388148,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/F4N729__V52_B0_989606a9637da31f7cad.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/F4N729/F4N729.v5_4_8h_8.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/F4N729/F4N729.v5_4_8h_8.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,857,4.0,3.5,2.0,153,77,0,99,13,52,34,2.021,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
I6Q9A1,I6Q9A1__V52_B0_5226a1244fdf64614579__compound5,V52_B0_5226a1244fdf64614579,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.182,159,0.627435,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/I6Q9A1__V52_B0_5226a1244fdf64614579.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/I6Q9A1/I6Q9A1.v5_4_8h_8.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/I6Q9A1/I6Q9A1.v5_4_8h_8.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,5458,4.0,3.5,2.0,181,76,1,110,18,66,44,1.547,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
I7K2S1,I7K2S1__V52_B0_a1449c6f756547d68d82__compound5,V52_B0_a1449c6f756547d68d82,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-8.111,15,0.817921,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/I7K2S1__V52_B0_a1449c6f756547d68d82.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/I7K2S1/I7K2S1.v5_4_8h_8.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/I7K2S1/I7K2S1.v5_4_8h_8.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2975,4.0,3.5,2.0,226,92,0,133,18,79,52,2.108,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
I7K324,I7K324__V52_B0_32ddd655691f86d6b241__compound5,V52_B0_32ddd655691f86d6b241,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.724,50,0.738569,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/I7K324__V52_B0_32ddd655691f86d6b241.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/I7K324/I7K324.v5_4_8h_8.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/I7K324/I7K324.v5_4_8h_8.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,5758,4.0,3.5,2.0,223,109,3,138,14,56,46,1.177,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
I7K3G3,I7K3G3__V52_B0_834319d12b31cd56a894__compound5,V52_B0_834319d12b31cd56a894,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.477,94,0.687923,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/I7K3G3__V52_B0_834319d12b31cd56a894.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/I7K3G3/I7K3G3.v5_4_8h_8.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_8_segmented_vina_docking_segment/vina_runs/I7K3G3/I7K3G3.v5_4_8h_8.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,6124,4.0,3.5,2.0,177,75,1,114,18,67,35,1.957,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
I7LHJ5,I7LHJ5__V52_B0_88168e53e77c16b85858__compound5,V52_B0_88168e53e77c16b85858,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.174,161,0.625795,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/I7LHJ5__V52_B0_88168e53e77c16b85858.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/I7LHJ5/I7LHJ5.v5_4_8h_10.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/I7LHJ5/I7LHJ5.v5_4_8h_10.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2030,4.0,3.5,2.0,165,75,3,99,16,68,40,1.693,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
I7LHK5,I7LHK5__V52_B0_1da18deb4e2fe666e802__compound5,V52_B0_1da18deb4e2fe666e802,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.313,125,0.654296,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/I7LHK5__V52_B0_1da18deb4e2fe666e802.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/I7LHK5/I7LHK5.v5_4_8h_10.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/I7LHK5/I7LHK5.v5_4_8h_10.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3802,4.0,3.5,2.0,242,112,3,143,14,78,49,1.854,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
Q858J8,Q858J8__V52_B0_d22506a9c7997355701e__compound5,V52_B0_d22506a9c7997355701e,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-8.2,13,0.836170,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/Q858J8__V52_B0_d22506a9c7997355701e.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/Q858J8/Q858J8.v5_4_8h_10.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/Q858J8/Q858J8.v5_4_8h_10.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,5444,4.0,3.5,2.0,218,104,4,128,18,86,45,1.787,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
Q858U5,Q858U5__V52_B0_9752cc0190d82ba0542c__compound5,V52_B0_9752cc0190d82ba0542c,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.579,74,0.708837,,data/derived/YRBP_branch_runs/v5_4_8f_1_receptor_pdbqt_blocked_audit_retry/retry_receptors_pdbqt/Q858U5__V52_B0_9752cc0190d82ba0542c.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/Q858U5/Q858U5.v5_4_8h_10.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/Q858U5/Q858U5.v5_4_8h_10.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3712,4.0,3.5,2.0,218,109,3,123,18,74,45,1.807,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
S5M3B5,S5M3B5__V52_B0_4532ea7e5bed51960434__compound5,V52_B0_4532ea7e5bed51960434,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.995,21,0.794136,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/S5M3B5__V52_B0_4532ea7e5bed51960434.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/S5M3B5/S5M3B5.v5_4_8h_10.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/S5M3B5/S5M3B5.v5_4_8h_10.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,4881,4.0,3.5,2.0,241,125,2,143,19,82,48,1.388,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
S5M9F2,S5M9F2__V52_B0_fd80d79069bc3204eb92__compound5,V52_B0_fd80d79069bc3204eb92,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.117,178,0.614107,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/S5M9F2__V52_B0_fd80d79069bc3204eb92.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/S5M9F2/S5M9F2.v5_4_8h_10.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/S5M9F2/S5M9F2.v5_4_8h_10.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3791,4.0,3.5,2.0,177,75,4,108,17,60,46,1.023,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
S5ML14,S5ML14__V52_B0_cc5cd01b6a7cd059e685__compound5,V52_B0_cc5cd01b6a7cd059e685,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.618,64,0.716834,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/S5ML14__V52_B0_cc5cd01b6a7cd059e685.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/S5ML14/S5ML14.v5_4_8h_10.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/S5ML14/S5ML14.v5_4_8h_10.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,6426,4.0,3.5,2.0,226,121,2,130,13,61,47,1.324,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
S5MLA1,S5MLA1__V52_B0_73247484443e8927b1d1__compound5,V52_B0_73247484443e8927b1d1,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-8.373,5,0.871642,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/S5MLA1__V52_B0_73247484443e8927b1d1.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/S5MLA1/S5MLA1.v5_4_8h_10.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/S5MLA1/S5MLA1.v5_4_8h_10.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2359,4.0,3.5,2.0,247,126,4,144,22,72,52,1.821,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
S5MRA5,S5MRA5__V52_B0_1ad188626900ead62d59__compound5,V52_B0_1ad188626900ead62d59,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.491,91,0.690794,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/S5MRA5__V52_B0_1ad188626900ead62d59.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/S5MRA5/S5MRA5.v5_4_8h_10.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_10_segmented_vina_docking_segment/vina_runs/S5MRA5/S5MRA5.v5_4_8h_10.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3243,4.0,3.5,2.0,178,80,3,108,14,60,41,1.651,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
