source_accession,G_pre1_target_engineering_composite_rank,G_pre1_target_engineering_composite_score
A0A0U1HUK9,814,0.336848
A0ABM7AMA1,815,0.333776
A0AAV3B6C2,816,0.332911
A0A380QAJ4,817,0.332824
A0A0H3AZJ6,818,0.330563
A0A0T9QI62,819,0.329283
A0A0H2W0D6,820,0.328456
A0A2G4U1S2,821,0.324194
A0ABM9XV01,822,0.322028
A0ABX5QXI4,823,0.319091
A0AB72ZJY3,824,0.318777
A0A380QTR9,825,0.314378
A0A0T9UB25,826,0.312594
A0A0T9U5C6,827,0.304506
